year month day nasdaq oil
2.015000000000000000e+03 9.000000000000000000e+00 2.100000000000000000e+01 4.828950195000000349e+03 4.667000000000000171e+01
2.015000000000000000e+03 9.000000000000000000e+00 2.200000000000000000e+01 4.756720215000000280e+03 4.617000000000000171e+01
2.015000000000000000e+03 9.000000000000000000e+00 2.300000000000000000e+01 4.752740234000000783e+03 4.453000000000000114e+01
2.015000000000000000e+03 9.000000000000000000e+00 2.400000000000000000e+01 4.734479980000000069e+03 4.493999999999999773e+01
2.015000000000000000e+03 9.000000000000000000e+00 2.500000000000000000e+01 4.686500000000000000e+03 4.554999999999999716e+01
2.015000000000000000e+03 9.000000000000000000e+00 2.800000000000000000e+01 4.543970215000000280e+03 4.439999999999999858e+01
2.015000000000000000e+03 9.000000000000000000e+00 2.900000000000000000e+01 4.517319824000000153e+03 4.524000000000000199e+01
2.015000000000000000e+03 9.000000000000000000e+00 3.000000000000000000e+01 4.620160155999999915e+03 4.506000000000000227e+01
2.015000000000000000e+03 1.000000000000000000e+01 1.000000000000000000e+00 4.627080077999999958e+03 4.475000000000000000e+01
2.015000000000000000e+03 1.000000000000000000e+01 2.000000000000000000e+00 4.707779784999999720e+03 4.553999999999999915e+01
2.015000000000000000e+03 1.000000000000000000e+01 5.000000000000000000e+00 4.781259765999999217e+03 4.628000000000000114e+01
2.015000000000000000e+03 1.000000000000000000e+01 6.000000000000000000e+00 4.748359863000000587e+03 4.853000000000000114e+01
2.015000000000000000e+03 1.000000000000000000e+01 7.000000000000000000e+00 4.791149902000000111e+03 4.785999999999999943e+01
2.015000000000000000e+03 1.000000000000000000e+01 8.000000000000000000e+00 4.810790039000000434e+03 4.946000000000000085e+01
2.015000000000000000e+03 1.000000000000000000e+01 9.000000000000000000e+00 4.830470215000000280e+03 4.967000000000000171e+01
2.015000000000000000e+03 1.000000000000000000e+01 1.200000000000000000e+01 4.838640136999999413e+03 4.709000000000000341e+01
2.015000000000000000e+03 1.000000000000000000e+01 1.300000000000000000e+01 4.796609863000000587e+03 4.670000000000000284e+01
2.015000000000000000e+03 1.000000000000000000e+01 1.400000000000000000e+01 4.782850097999999889e+03 4.663000000000000256e+01
2.015000000000000000e+03 1.000000000000000000e+01 1.500000000000000000e+01 4.870100097999999889e+03 4.638000000000000256e+01
2.015000000000000000e+03 1.000000000000000000e+01 1.600000000000000000e+01 4.886689940999999635e+03 4.729999999999999716e+01
2.015000000000000000e+03 1.000000000000000000e+01 1.900000000000000000e+01 4.905470215000000280e+03 4.590999999999999659e+01
