data	cotacao
02-10-2020	1.171
01-10-2020	1.175
30-09-2020	1.172
29-09-2020	1.174
28-09-2020	1.166
25-09-2020	1.163
24-09-2020	1.167
23-09-2020	1.166
22-09-2020	1.171
21-09-2020	1.177
18-09-2020	1.184
17-09-2020	1.185
16-09-2020	1.181
15-09-2020	1.185
14-09-2020	1.187
11-09-2020	1.185
10-09-2020	1.181
09-09-2020	1.180
08-09-2020	1.178
07-09-2020	1.182
04-09-2020	1.184
03-09-2020	1.185
02-09-2020	1.185
01-09-2020	1.191
31-08-2020	1.194
28-08-2020	1.190
27-08-2020	1.182
26-08-2020	1.183
25-08-2020	1.183
24-08-2020	1.179
21-08-2020	1.180
20-08-2020	1.186
19-08-2020	1.184
18-08-2020	1.193
17-08-2020	1.187
14-08-2020	1.184
13-08-2020	1.181
12-08-2020	1.178
11-08-2020	1.174
10-08-2020	1.174
07-08-2020	1.179
06-08-2020	1.188
05-08-2020	1.186
04-08-2020	1.180
03-08-2020	1.176
31-07-2020	1.178
30-07-2020	1.185
29-07-2020	1.179
28-07-2020	1.172
27-07-2020	1.175
24-07-2020	1.166
23-07-2020	1.160
22-07-2020	1.157
21-07-2020	1.153
20-07-2020	1.145
17-07-2020	1.143
16-07-2020	1.138
15-07-2020	1.141
14-07-2020	1.140
13-07-2020	1.134
10-07-2020	1.130
09-07-2020	1.128
08-07-2020	1.133
07-07-2020	1.127
06-07-2020	1.131
03-07-2020	1.125
02-07-2020	1.124
01-07-2020	1.125
30-06-2020	1.123
29-06-2020	1.124
26-06-2020	1.122
25-06-2020	1.122
24-06-2020	1.125
23-06-2020	1.131
22-06-2020	1.126
19-06-2020	1.118
18-06-2020	1.120
17-06-2020	1.124
16-06-2020	1.126
15-06-2020	1.132
12-06-2020	1.126
11-06-2020	1.130
10-06-2020	1.137
09-06-2020	1.134
08-06-2020	1.129
05-06-2020	1.129
04-06-2020	1.134
03-06-2020	1.123
02-06-2020	1.117
01-06-2020	1.114
29-05-2020	1.110
28-05-2020	1.108
27-05-2020	1.101
26-05-2020	1.098
25-05-2020	1.090
22-05-2020	1.090
21-05-2020	1.095
20-05-2020	1.098
19-05-2020	1.092
18-05-2020	1.091
15-05-2020	1.082
14-05-2020	1.081
13-05-2020	1.082
12-05-2020	1.085
11-05-2020	1.081
08-05-2020	1.084
07-05-2020	1.083
06-05-2020	1.080
05-05-2020	1.084
04-05-2020	1.091
01-05-2020	1.099
30-04-2020	1.096
29-04-2020	1.088
28-04-2020	1.082
27-04-2020	1.083
24-04-2020	1.082
23-04-2020	1.078
22-04-2020	1.082
21-04-2020	1.086
20-04-2020	1.086
17-04-2020	1.088
16-04-2020	1.084
15-04-2020	1.091
14-04-2020	1.098
13-04-2020	1.092
10-04-2020	1.094
09-04-2020	1.093
08-04-2020	1.086
07-04-2020	1.089
06-04-2020	1.079
03-04-2020	1.081
02-04-2020	1.086
01-04-2020	1.096
31-03-2020	1.103
30-03-2020	1.105
27-03-2020	1.114
26-03-2020	1.103
25-03-2020	1.088
24-03-2020	1.079
23-03-2020	1.072
20-03-2020	1.070
19-03-2020	1.069
18-03-2020	1.092
17-03-2020	1.100
16-03-2020	1.118
13-03-2020	1.111
12-03-2020	1.119
11-03-2020	1.127
10-03-2020	1.128
09-03-2020	1.145
06-03-2020	1.129
05-03-2020	1.124
04-03-2020	1.114
03-03-2020	1.117
02-03-2020	1.113
28-02-2020	1.103
27-02-2020	1.100
26-02-2020	1.088
25-02-2020	1.088
24-02-2020	1.085
21-02-2020	1.085
20-02-2020	1.079
19-02-2020	1.081
18-02-2020	1.079
17-02-2020	1.084
14-02-2020	1.083
13-02-2020	1.084
12-02-2020	1.087
11-02-2020	1.092
10-02-2020	1.091
07-02-2020	1.095
06-02-2020	1.098
05-02-2020	1.100
04-02-2020	1.104
03-02-2020	1.106
31-01-2020	1.109
30-01-2020	1.103
29-01-2020	1.101
28-01-2020	1.102
27-01-2020	1.102
24-01-2020	1.103
23-01-2020	1.105
22-01-2020	1.109
21-01-2020	1.108
20-01-2020	1.110
17-01-2020	1.109
16-01-2020	1.114
15-01-2020	1.115
14-01-2020	1.113
13-01-2020	1.114
10-01-2020	1.112
09-01-2020	1.111
08-01-2020	1.111
07-01-2020	1.115
06-01-2020	1.120
03-01-2020	1.116
02-01-2020	1.117
01-01-2020	1.121
31-12-2019	1.121
30-12-2019	1.120
27-12-2019	1.118
26-12-2019	1.110
25-12-2019	1.109
24-12-2019	1.109
23-12-2019	1.109
20-12-2019	1.108
19-12-2019	1.112
18-12-2019	1.111
17-12-2019	1.115
16-12-2019	1.114
13-12-2019	1.112
12-12-2019	1.113
11-12-2019	1.113
10-12-2019	1.109
09-12-2019	1.106
06-12-2019	1.106
05-12-2019	1.110
04-12-2019	1.108
03-12-2019	1.108
02-12-2019	1.108
29-11-2019	1.102
28-11-2019	1.101
27-11-2019	1.100
26-11-2019	1.102
25-11-2019	1.101
22-11-2019	1.102
21-11-2019	1.106
20-11-2019	1.107
19-11-2019	1.108
18-11-2019	1.107
15-11-2019	1.105
14-11-2019	1.102
13-11-2019	1.101
12-11-2019	1.101
11-11-2019	1.103
08-11-2019	1.102
07-11-2019	1.105
06-11-2019	1.107
05-11-2019	1.108
04-11-2019	1.113
01-11-2019	1.117
31-10-2019	1.115
30-10-2019	1.115
29-10-2019	1.111
28-10-2019	1.110
25-10-2019	1.108
24-10-2019	1.111
23-10-2019	1.113
22-10-2019	1.113
21-10-2019	1.115
18-10-2019	1.117
17-10-2019	1.112
16-10-2019	1.107
15-10-2019	1.103
14-10-2019	1.103
11-10-2019	1.104
10-10-2019	1.101
09-10-2019	1.097
08-10-2019	1.096
07-10-2019	1.097
04-10-2019	1.098
03-10-2019	1.097
02-10-2019	1.096
01-10-2019	1.093
